timestamp_utc,symbol,window,signal,close,ma,reason
2026-01-12T01:39:29.534510+00:00,AAPL,50,BUY,268.75,244.88459999999998,close (268.75) > MA50 (244.88)
2026-01-12T01:39:29.636777+00:00,MSFT,50,BUY,531.48,512.0297,close (531.48) > MA50 (512.03)
2026-01-12T01:39:29.732110+00:00,QQQ,50,BUY,628.08,591.7639,close (628.08) > MA50 (591.76)
2026-01-12T01:39:29.825445+00:00,SPY,50,BUY,685.215,658.558,close (685.22) > MA50 (658.56)
